GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend_flight_booking,com.backend_flight_booking.backend_flight_booking.Reservations,ReservationStatus,15,0,0,0,3,0,1,0,1,0
backend_flight_booking,com.backend_flight_booking.backend_flight_booking.Reservations,ReservationModel,299,0,62,0,10,0,49,0,18,0
backend_flight_booking,com.backend_flight_booking.backend_flight_booking.Flights,FlightModel,456,0,94,0,15,0,73,0,26,0
backend_flight_booking,com.backend_flight_booking.backend_flight_booking,BackendFlightBookingApplication,8,0,0,0,3,0,2,0,2,0
backend_flight_booking,com.backend_flight_booking.backend_flight_booking.Seats,SeatType,21,0,0,0,4,0,1,0,1,0
backend_flight_booking,com.backend_flight_booking.backend_flight_booking.Seats,SeatModel,337,0,70,0,11,0,55,0,20,0
backend_flight_booking,com.backend_flight_booking.backend_flight_booking.Seats,SeatStatus,27,0,0,0,5,0,1,0,1,0
backend_flight_booking,com.backend_flight_booking.backend_flight_booking.Configurations,AppConfiguration,7,0,0,0,2,0,2,0,2,0
backend_flight_booking,com.backend_flight_booking.backend_flight_booking.Users.DTO,UserBasicInfoDTO,248,27,54,0,6,1,37,7,10,7
backend_flight_booking,com.backend_flight_booking.backend_flight_booking.Users,UserController,0,80,0,0,0,23,0,5,0,5
backend_flight_booking,com.backend_flight_booking.backend_flight_booking.Users,UserModel,300,42,70,0,6,5,45,10,10,10
backend_flight_booking,com.backend_flight_booking.backend_flight_booking.Users,UserService,0,113,0,6,0,23,0,8,0,5
backend_flight_booking,com.backend_flight_booking.backend_flight_booking.Exceptions,ExceptionToTest,4,0,0,0,2,0,1,0,1,0
backend_flight_booking,com.backend_flight_booking.backend_flight_booking.Exceptions,UserIdNotFoundException,0,4,0,0,0,2,0,1,0,1
